id,original_title,release_date,release_year,runtime,vote_average
292040,Spooks: The Greater Good,2015-04-11,2015,104,5.6
188222,Entourage,2015-06-03,2015,104,6.2
252838,The Wedding Ringer,2015-01-16,2015,101,6.5
273477,Scouts Guide to the Zombie Apocalypse,2015-10-23,2015,93,6.2
298312,The Visit,2015-09-10,2015,94,5.9
261023,Black Mass,2015-09-04,2015,122,6.3
336004,Heist,2015-11-13,2015,93,5.4
287903,Krampus,2015-11-26,2015,98,5.9
182560,Dark Places,2015-03-31,2015,113,5.7
192141,No Escape,2015-08-26,2015,103,6.7
308639,Dope,2015-06-19,2015,103,7.3
261392,American Ultra,2015-08-19,2015,96,5.9
304357,Woman in Gold,2015-04-10,2015,120,7.3
297291,The Scorpion King: The Lost Throne,2015-01-09,2015,105,4.5
266294,Sisters,2015-12-18,2015,118,5.9
227719,Project Almanac,2015-01-30,2015,106,6.3
86828,Absolutely Anything,2015-06-26,2015,85,5.8
287948,The Transporter Refueled,2015-09-03,2015,96,5.3
201085,Crimson Peak,2015-10-13,2015,119,6.4
277355,Everly,2015-01-23,2015,90,5.1
264999,Magic Mike XXL,2015-07-01,2015,115,6.3
146301,Paranormal Activity: The Ghost Dimension,2015-10-21,2015,88,5.0
223485,Slow West,2015-04-16,2015,84,6.6
294016,Trumbo,2015-10-27,2015,124,7.2
290751,Secret in Their Eyes,2015-10-14,2015,111,6.2
309245,Mistress America,2015-08-14,2015,84,6.4
228165,The SpongeBob Movie: Sponge Out of Water,2015-02-05,2015,93,5.7
245706,True Story,2015-04-17,2015,100,6.0
272878,Max,2015-06-26,2015,111,7.0
263109,Shaun the Sheep Movie,2015-02-05,2015,85,6.9
157827,Louder Than Bombs,2015-05-18,2015,109,6.3
321751,A Perfect Day,2015-08-28,2015,106,6.3
266396,The Gunman,2015-02-16,2015,115,5.6
277685,Unfriended,2015-04-17,2015,82,5.6
268920,Hot Pursuit,2015-05-08,2015,87,5.5
280092,Insidious: Chapter 3,2015-06-04,2015,97,6.3
193687,Z for Zachariah,2015-08-13,2015,97,5.5
300803,Dragonheart 3: The Sorcerer's Curse,2015-02-24,2015,97,4.5
328589,The Lady in the Van,2015-11-13,2015,104,5.9
228066,Victor Frankenstein,2015-11-10,2015,109,5.5
378373,Brothers of the Wind,2015-12-24,2015,98,7.5
291270,Anomalisa,2015-12-30,2015,90,6.7
294963,Bone Tomahawk,2015-10-23,2015,132,6.3
241257,Regression,2015-10-01,2015,106,5.2
245698,Pawn Sacrifice,2015-09-16,2015,114,6.6
353326,The Man Who Knew Infinity,2015-09-17,2015,108,7.1
346808,Momentum,2015-08-01,2015,96,5.8
250124,The Diary of a Teenage Girl,2015-08-07,2015,102,6.8
290637,Pay the Ghost,2015-09-16,2015,94,5.3
